unit,purpose,duration,partner,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
NR,PERS,N1-3,DOM,Y15-24,SE	: 	3291534 	3664754 	3390733 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,SI	199131 	190208 	106415 	218050 	243438 	243036 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,SK	379337 u	429665 u	427408 u	: u	322100 bu	431938 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y15-24,UK	: 	: 	: 	: 	9729739 	9803762 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,AT	1195060 	1309745 	1107842 	1260576 	1122620 	936669 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,BE	444491 b	290360 	491483 	293078 	417016 	264339 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,BG	526947 	337282 	359127 	474285 	334372 	396620 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,CH	: 	765940 	711804 	660129 	715087 	840421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,CY	150917 	168810 	219220 	242987 	208695 	316163 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,CZ	3968337 	3777207 	3158657 	3527391 	3817589 	3937815 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,DE	15542191 	19108197 	17510599 	15181633 	17287009 	16307509 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,DK	: 	2857083 	2708359 	2919433 	2653361 b	2778121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,EA	: 	: 	: 	61331005 e	66535053 e	67439811 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,EE	704271 	708608 	566139 	511701 	389373 	353590 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,EL	: 	209293 	249926 	267619 	228623 	537730 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,ES	16494667 	16247189 	15677031 b	10917660 	12082287 	13089181 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,EU27	: 	: 	101089249 e	93453366 e	96624520 e	100075246 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,EU28	: 	: 	101383050 e	93764741 e	97324867 e	100699133 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,FI	4313333 	4201506 	4240575 	4242077 	4446996 	4221534 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,FR	19579824 	16504747 	18325946 	19963698 	20762338 	21031318 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,HR	265881 	249202 	364424 	371661 	702599 	628086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,HU	1603409 	1559711 	1849256 	1856679 	1926593 	2281355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,IE	1040232 	1123678 	957049 	343986 	380776 	365333 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,IT	3156943 	2864859 	2792398 	2750938 b	3206362 	3700162 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,LT	391616 	396124 	411527 	381050 	433125 	427070 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,LU	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,LV	: 	695737 	734118 	644806 	690759 	804395 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,MT	60038 	59496 	45305 	47423 b	24982 u	29734 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,NL	3023840 	3072822 	3132110 	3182395 	3307033 	3925258 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,NO	1373099 	1184991 	1005154 	1183215 	917817 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,PL	5190823 	4669360 	5207055 	4855392 b	4626300 	6235776 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,PT	1165630 	1256729 	1408970 	1402455 	1485157 	1612307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,RO	2389956 	2370983 	2264550 	2419854 	2636968 	2207614 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,SE	: 	3891401 	3967716 	3195309 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,SI	240145 	226761 	246286 	322049 	405631 	379533 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,SK	969407 	824078 	625232 	635651 	768851 b	359320 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-34,UK	: 	: 	: 	: 	11134969 	11673956 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,AT	2355325 	2459099 	2235086 	2493458 	2278631 	2075045 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,BE	928771 b	653457 	852101 	553216 	696297 	645091 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,BG	1202553 	701639 	671497 	886737 	828299 	797114 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,CH	: 	1319471 	1595482 	1650237 	1558731 	1621738 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,CY	405623 	388967 	448090 	474954 	352363 	544928 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,CZ	8595365 	8031029 	7108574 	7218715 	7536840 	7453882 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,DE	27316231 	32243931 	30070367 	26454030 	29996097 	30071572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,DK	: 	5255990 	5935095 	5575706 	5069614 b	5117675 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,EA	: 	: 	: 	127185833 e	134324095 e	139655155 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,EE	1173635 	1212465 	996879 	887303 	671284 	601050 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,EL	: 	532376 	594583 	641185 	526061 	1054273 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,ES	37916791 	37288757 	37287013 b	29998630 	30855458 	32387708 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,EU27	: 	: 	203639138 e	189623234 e	192161205 e	200548460 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,EU28	: 	: 	204213524 e	190442698 e	193229642 e	201748405 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,FI	7591040 	7551536 	7437962 	7336260 	7885263 	7582735 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,FR	37502653 	33304747 	35814998 	38243365 	39639173 	41409860 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,HR	491634 	493049 	718848 	918179 	1079052 	1209308 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,HU	3541162 	3420419 	3681086 	3524638 	3463368 	4341544 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,IE	2587344 	2592077 	2442246 	1342816 	1389182 	1275347 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,IT	7978963 	8170052 	7808549 	7902526 b	8060611 	10007246 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,LT	677341 	677872 	705438 	674625 	724457 	751981 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,LU	: 	: u	: u	: u	: u	5625 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,LV	: 	1200665 	1150869 	1241006 	1199208 	1452965 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,MT	91743 	83125 	72799 	70317 b	56207 	66097 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,NL	5544012 	5715131 	5723547 	5770120 	6271019 	6947979 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,NO	2796094 	2871175 	2812680 	2827794 	2367488 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,PL	9540596 	8992860 	9735268 	8635334 b	8112423 	10129819 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,PT	3845969 	3876292 	3671106 	3620579 	3557438 	3487751 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,RO	4773146 	4639505 	4434066 	4732736 	4923882 	4385622 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,SE	: 	6950901 	7192695 	5907530 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,SI	539897 	479330 	456972 	621691 	689694 	683604 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,SK	1935172 	1980546 	1273850 	1380482 	1375504 b	792063 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y25-44,UK	: 	: 	: 	: 	22329068 	22670303 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,AT	1160265 	1149354 	1127244 	1232882 	1156011 	1138376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,BE	484280 b	363097 	360618 	260138 	279281 	380752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,BG	675606 	364357 	312370 	412452 	493927 	400495 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,CH	: 	553531 	883678 	990108 	843643 	781316 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,CY	254707 	220157 	228870 	231967 	143668 	228765 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,CZ	4627028 	4253822 	3949917 	3691324 	3719251 	3516067 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,DE	11774040 	13135735 	12559768 	11272397 	12709088 	13764064 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,DK	: 	2398907 	3226736 	2656273 	2416253 b	2339554 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,EA	: 	: 	: 	65854828 e	67789042 e	72215344 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,EE	469364 	503857 	430740 	375602 	281910 	247461 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,EL	: 	323083 	344656 	373566 	297438 	516542 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,ES	21422123 	21041568 	21609982 b	19080969 	18773170 	19298527 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,EU27	: 	: 	102549890 e	96169867 e	95536686 e	100473213 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,EU28	: 	: 	102830474 e	96677956 e	95904775 e	101049272 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,FI	3277708 	3350031 	3197387 	3094183 	3438266 	3361201 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,FR	17922829 	16800000 	17489052 	18279667 	18876835 	20378542 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,HR	225753 	243847 	354424 	546519 	376453 	581222 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,HU	1937753 	1860708 	1831830 	1667959 	1536775 	2060189 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,IE	1547112 	1468400 	1485197 	998829 	1008406 	910014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,IT	4822020 	5305193 	5016151 	5151588 b	4854249 	6307084 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,LT	285726 	281748 	293911 	293575 	291333 	324911 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,LU	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,LV	: 	504928 	416751 	596199 	508449 	648570 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,MT	31705 	23629 	27494 	22894 b	31226 u	36364 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,NL	2520171 	2642309 	2591437 	2587725 	2963986 	3022721 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,NO	1422995 	1686185 	1807526 	1644579 	1449670 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,PL	4349773 	4323501 	4528214 	3779942 b	3486122 	3894043 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,PT	2680339 	2619563 	2262136 	2218125 	2072281 	1875444 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,RO	2383190 	2268521 	2169516 	2312882 	2286914 	2178008 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,SE	: 	3059500 	3224979 	2712221 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,SI	299752 	252569 	210686 	299642 	284064 	304071 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,SK	965765 	1156468 	648618 	744831 	606653 b	432743 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,Y35-44,UK	: 	: 	: 	: 	11194099 	10996347 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
