unit,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N_GE1,WORLD,T,FR	38695712 	38049563 	38689286 	38229887 	38480199 	38380851 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,HR	1564984 	1597525 	1559333 b	1781473 	1710521 	1909309 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,HU	: 	4728742 	4523655 	4482218 	4318166 	4354928 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,IE	2833130 	2794153 	2688271 	2662137 	2534005 	2545174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,IT	21540692 	21802773 	21806405 	19726341 b	21648795 	24998498 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,LT	1399279 	1412182 	1453527 	1454396 	1426056 	1329514 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,LU	: 	389553 	389075 	376984 	378419 	341767 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,LV	930819 	963281 	915729 	878919 	889146 	791292 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,MT	251186 	217996 	186655 	191974 	182068 	175406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,NL	12017263 	11881447 	11498436 	11485661 	11604547 	11630639 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,NO	3656232 	3283068 	: 	: 	3508980 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,PL	19180052 	18375208 	17447589 	17199994 	17050000 	15660000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,PT	3712984 	3767951 	3698666 	3429793 	3364354 	3299493 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,RO	4380527 	3961003 	4357576 	4201139 	4230146 	3874801 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,SE	6048527 	6487885 	6592772 	6130000 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,SI	1152354 	1170373 	1101410 	1105720 e	1081948 e	1120255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,SK	3246263 	3039212 	2760910 	2455999 	2566368 b	2488503 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,UK	: 	34583500 	34565500 	34338000 	33832000 	34148000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,AT	345313 	309727 	330293 	340484 	307096 	341094 	371350 	350949 	394248 	408965 	394400 	650711 	385639 	602090 	638210 	357006 	441014 	374518 	420688 	386500 	: 	: 	: 	: 
NR,N_GE4,DOM,F,BE	135858 b	104738 u	130508 	115009 	127937 	185529 	219036 	170148 	243919 	230445 	199479 	258335 	264448 	274716 	255135 	255425 	235652 	: 	265914 	372524 	: 	486014 	: 	: 
NR,N_GE4,DOM,F,BG	626881 	509534 	569074 	468956 	359703 	295435 b	475470 e	454667 e	653283 e	461671 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,CH	: 	256584 u	241398 u	304413 	316925 	339342 u	425117 	369086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,CY	47368 e	43867 e	54932 e	38573 e	28470 e	28544 e	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,CZ	1174345 	1154430 	1182908 	1374298 	1142315 	1055005 	1047796 	1546703 	1346021 e	1083013 e	1131917 	1071897 	1128548 	1087866 	1061910 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,DE	4652472 	5455798 	6232478 	6395668 	6041503 	5721886 	8161802 	7915649 	9655236 e	9147979 	8580298 	8902364 	10217404 	7197000 	7953000 	8092000 	9813000 	8960000 	: u	: u	: u	: 	: 	: 
NR,N_GE4,DOM,F,DK	: 	514694 	484176 	466565 	436939 	415004 	350801 	267115 	244704 	207839 	222051 	222051 	342775 	312541 	418200 	350500 	358700 	418100 	346700 	381800 	398000 	461400 	: 	: 
NR,N_GE4,DOM,F,EE	78686 u	51942 u	50513 	66453 	63947 	65038 b	: u	: u	49436 	36798 	46984 	39988 	69342 	67550 	63782 	92808 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,EL	1364212 	1176250 	1242750 	1344095 	1135923 	1243685 	1306067 	1417513 	1794602 	1746201 	1806863 	1915831 	2006502 	1544491 	1882007 	1825443 	1885478 	2007496 	1910663 	2583567 	2821867 	3368982 	1610779 	1610779 
NR,N_GE4,DOM,F,ES	6526331 	6707747 	6326479 b	5806894 	6110136 	5809018 	6106752 	5673851 	6339391 	6536797 	6597756 	6758562 	6141914 	6115798 	10099616 	9848044 	8367684 	13226496 	10052113 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,EU27	: 	: 	: 	: 	: 	: 	55173862 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,EU28	: 	: 	: 	: 	: 	: 	55626021 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,FI	621505 	609359 	641128 	684300 	656512 	665723 b	582000 	582000 	593000 	546000 	673000 	546000 	618000 	615000 	688000 	640000 	656000 	613000 	575000 	647000 	614000 	557000 	: 	647000 
NR,N_GE4,DOM,F,FR	9964028 	10096949 	11693899 	11667755 	11867887 	12124166 	11929888 	12082294 	12108810 	12169913 	12497140 	12459532 	12366722 	10644000 	10802000 	: 	10508000 	10463000 	10699000 	10876000 	10864000 	: 	: 	: 
NR,N_GE4,DOM,F,HR	387465 	399160 	367682 b	448231 	308252 	440017 	452159 	473166 	460561 	437636 	406140 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,HU	: 	843180 	849277 	885689 	868612 	884837 b	785510 	1403958 	1423788 	1625958 	960722 	1219856 	1604207 	1553018 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,IE	163678 	155518 	177497 	169427 	175866 	151022 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	280000 	: 	480000 	: 	: 	: 	: 
NR,N_GE4,DOM,F,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43374 	: 	: 
NR,N_GE4,DOM,F,IT	5858311 	5676691 	6495049 	5719144 b	6492077 	7249151 	7561405 	8002107 	8106903 	7929570 	9321121 	9261065 	9125522 	9107487 	9153209 	9057644 	8885053 	8604094 	8057171 	8261795 	9100103 	: 	: 	: 
NR,N_GE4,DOM,F,LT	62797 	63602 	73140 	79157 	70493 	65616 	136419 	138712 	157725 	122198 	76062 	90627 	77095 	186752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,LU	: 	: c	: c	799 	0 u	892 	0 	531 	: u	: u	: u	: 	1000 	1000 	1000 	1000 	: 	: 	2000 	1000 	1000 	: 	: 	: 
NR,N_GE4,DOM,F,LV	57325 	58167 	56283 	45688 	62719 	57563 	70647 	76382 	88839 	88172 	82182 	94868 	112203 	135331 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,MT	9835 	8911 	10275 	12855 	12218 	12758 b	11306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,NL	1132026 	1255482 	1140883 	1180714 	1190968 	1307946 b	897000 	944000 	978000 	913000 	1029000 	1076000 	1027000 	1070000 	1004000 	1099000 	1196000 	1192000 	1177000 	1098000 	: 	: 	: 	: 
NR,N_GE4,DOM,F,NO	278257 	238398 	: 	: 	212660 	: 	262432 	334086 	334086 	318607 	343801 	429080 	381487 	383106 	469967 	375229 	430377 	497257 	510468 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,PL	4729253 	4500652 	4233642 	3924230 	4020000 	4440000 	3577000 e	3765000 	4559000 	4328000 	4023000 	4222000 	4372000 	4284000 e	4990000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,PT	974087 	983670 	932174 	876818 	966445 	750274 	821350 	808431 	888221 	603623 	643712 	935702 	1015082 	1006594 	1037696 	1154712 	1221546 	1070608 	1158432 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,RO	704197 	675303 	756365 	750545 	787475 	800625 	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,SE	421952 	453541 	480316 	449670 	: 	1569916 	1552891 	1617520 	1479682 	1516259 	1452310 	1556876 	: 	: 	: 	: 	: 	: 	: 	: 	2059000 	: 	: 	: 
NR,N_GE4,DOM,F,SI	66017 	78090 	65921 	82281 e	73309 e	77378 	83000 	108000 	103000 	99928 	110098 	100294 	115563 	107438 	119522 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,SK	417394 	400054 	384601 	304010 	372544 b	346955 	394861 	331454 	548989 	400271 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,UK	: 	4228220 	4043300 	4089300 	4930200 	6088000 	6323000 	5819000 	6256000 	5526000 	5661000 	5586000 	5697000 	4260000 	4550000 	5164000 	5213000 	5443000 	6750000 	8700000 	8870000 	8510000 	: 	: 
NR,N_GE4,DOM,M,AT	301244 	332467 	294283 	295863 	286537 	357193 	314192 	307815 	345740 	334966 	322120 	674849 	340959 	515961 	495451 	320977 	392018 	328300 	356359 	354600 	: 	: 	: 	: 
NR,N_GE4,DOM,M,BE	121350 b	98509 u	98432 u	82884 	138968 	158017 	175119 	143609 	191493 	227398 	228485 	229576 	254423 	243299 	234636 	233500 	227938 	: 	239141 	323355 	: 	449266 	: 	: 
NR,N_GE4,DOM,M,BG	677293 	569086 	546285 	461820 	399938 	289290 b	390798 e	421915 e	550407 e	414399 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,CH	: 	270663 u	257432 u	265021 u	243748 u	312614 u	484666 	334327 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,CY	44262 e	45971 e	57882 e	35463 e	22122 e	29927 e	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,CZ	1202251 	1243697 	1118487 	1287841 	1046740 	1015044 	1019431 	1322099 	1293640 e	1089279 e	1149827 	1088858 	1263104 	1217572 	1081436 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,DE	4852189 	5048842 	4861968 	4787502 	5006878 	5639893 	7069389 	7443393 	8894838 e	6895452 	6554095 	8459107 	7943880 	6719000 	5920000 	6341000 	9069000 	8217000 	: u	: u	: u	: 	: 	: 
NR,N_GE4,DOM,M,DK	: 	409190 	440519 	491180 	454144 	388062 	345543 	206228 	216690 	258860 	207951 	207951 	284761 	283316 	378700 	321100 	301000 	355500 	320100 	359600 	290000 	386600 	: 	: 
NR,N_GE4,DOM,M,EE	: c	69913 u	53120 	53656 	48936 	54310 b	: u	: u	46665 	: u	36007 	31105 	47783 	40525 	43585 	53662 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,EL	1235287 	1060048 	1098296 	1249468 	1053702 	1117166 	1212135 	1260850 	1713189 	1734000 	1733814 	1746730 	1884738 	1369781 	1698225 	1668535 	1691227 	1895153 	1665024 	2316540 	2663353 	3076813 	1506216 	1506216 
NR,N_GE4,DOM,M,ES	6024165 	6372482 	6201633 b	5386230 	5514585 	5346376 	5580738 	5201307 	5798835 	6037804 	6089388 	6253065 	5474558 	5685887 	9064850 	8954482 	7362937 	11881693 	9602182 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,EU27	: 	: 	: 	: 	: 	: 	49253825 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,EU28	: 	: 	: 	: 	: 	: 	49571371 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,FI	574564 	651342 	696605 	640817 	616987 	644300 b	594000 	570000 	543000 	589000 	586000 	520000 	551000 	567000 	613000 	632000 	545000 	582000 	549000 	542000 	615000 	547000 	: 	542000 
NR,N_GE4,DOM,M,FR	8934471 	11334486 	10582668 	10468703 	10650592 	10750063 	11010112 	10776986 	11407853 	11304663 	11087143 	11033952 	11311054 	9536000 	9861000 	: 	9720000 	9377000 	9671000 	9663000 	10100000 	: 	: 	: 
NR,N_GE4,DOM,M,HR	391791 	421927 	391366 b	362465 	373051 	344572 	317546 	553404 	456907 	441772 	393751 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,HU	: 	738275 	734060 	760000 	774557 	733943 b	692525 	1194984 	1182841 	1340048 	801505 	1017504 	1265544 	1252763 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,IE	159701 	140834 	146170 	154725 	146968 	154547 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	227000 	: 	551000 	: 	: 	7093000 	: 
NR,N_GE4,DOM,M,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40088 	: 	: 
NR,N_GE4,DOM,M,IT	5480223 	5562379 	5824368 	5521373 b	5874208 	7023928 	6904548 	7595548 	7727394 	7436422 	8821320 	8772502 	8680700 	8587204 	8703631 	8552016 	8383160 	8164798 	7452232 	7636309 	8348810 	: 	: 	: 
NR,N_GE4,DOM,M,LT	61021 	68504 	80844 	73481 	67245 	57339 	115324 	112364 	119114 	108667 	70546 	68755 	61860 	158723 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,LU	: 	: c	0 u	2846 	954 	930 	132 	159 	: u	: u	: u	: 	0 	: 	: 	1000 	: 	: 	1000 	1000 	1000 	: 	: 	: 
NR,N_GE4,DOM,M,LV	54756 	52804 	44323 	43200 	56769 	49665 	50719 	114214 	109302 	111739 	118176 	130220 	150726 	146636 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,MT	13654 	11028 	9031 	13083 	8388 	13536 b	9818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,NL	985250 	1082490 	1142647 	1149895 	1188442 	1162089 b	860000 	918000 	939000 	874000 	872000 	978000 	893000 	996000 	977000 	811000 	1030000 	1055000 	1110000 	1218000 	: 	: 	: 	: 
NR,N_GE4,DOM,M,NO	339963 	318309 	: 	: 	288440 	: 	325959 	388329 	388329 	307547 	289513 	405610 	328185 	384354 	419306 	383683 	458793 	427829 	429796 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,PL	4021073 	4006379 	3816713 	3292923 	4110000 	2920000 	3074000 e	3236000 	3260000 	3190000 	3204000 	3145000 	3528000 	3450000 e	3760000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,PT	799230 	817595 	796686 	745136 	809196 	678106 	683617 	674439 	828127 	515101 	586355 	811500 	748655 	870717 	918317 	1030056 	1035506 	951672 	901944 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,RO	721338 	687000 	758525 	746475 	781974 	847548 	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,SE	526752 	425119 	344382 	415130 	: 	1418630 	1461311 	1447078 	1379440 	1300547 	1344738 	1295745 	: 	: 	: 	: 	: 	: 	: 	: 	1959000 	: 	: 	: 
NR,N_GE4,DOM,M,SI	54960 	69991 	70760 	62487 e	64343 e	74422 	88000 	86000 	118000 	101865 	108319 	110057 	91053 	98936 	106413 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,SK	343151 	398947 	319272 	334789 	313827 b	281153 	342906 	412476 	331806 	450305 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,UK	: 	4241460 	4409600 	4256300 	4807200 	4744000 	4765000 	5037000 	4704000 	4505000 	3916000 	5117000 	4533000 	3420000 	4120000 	4055000 	4195000 	4478000 	5530000 	7110000 	7690000 	7700000 	: 	: 
NR,N_GE4,DOM,T,AT	646557 	642194 	624575 	636346 	593633 	698287 	685542 	658765 	739988 	743930 	716520 	1325560 	726598 	1118051 	1133661 	677983 	833032 	702818 	777047 	741000 	: 	734900 	: 	: 
NR,N_GE4,DOM,T,BE	257208 b	203247 	228940 	197892 	266905 	343546 	394154 	313757 	435413 	457844 	427964 	487911 	518871 	518015 	489771 	488925 	463590 	: 	505055 	695879 	: 	935280 	: 	: 
NR,N_GE4,DOM,T,BG	1304174 	1078620 	1115359 	930776 	759641 	584725 b	866268 e	876582 e	1203690 e	876070 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,CH	: 	527247 	498831 	569435 	560674 	651956 	909783 	703414 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,CY	91630 e	89838 e	112813 e	74036 e	50593 e	58471 e	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,CZ	2376596 	2398127 	2301395 	2662139 	2189055 	2070049 	2067227 	2868802 	2639661 e	2172292 e	2281743 	2160755 	2391652 	2305438 	2143346 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,DE	9504661 	10504640 	11094446 	11183170 	11048381 	11361778 	15231192 	15359041 	18550073 e	16043431 	15134393 	17361471 	18161284 	13916000 	13873000 	14433000 	18882000 	17178000 	15500000 	15100000 	16300000 	: 	: 	: 
NR,N_GE4,DOM,T,DK	: 	923884 	924695 	957745 	891083 	803066 	696344 	473343 	461394 	466699 	430002 	430002 	627537 	595857 	796900 	671600 	660100 	773600 	666900 	741400 	688000 	848000 	: 	: 
NR,N_GE4,DOM,T,EE	127360 	121855 	103633 	120109 	112883 	119348 b	: u	: u	96101 	69100 	82991 	71093 	117125 	108075 	107367 	146470 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,EL	2599499 	2236298 	2341046 	2593563 	2189625 	2360851 	2518202 	2678363 	3507791 	3480200 	3540678 	3662561 	3891239 	2914272 	3580232 	3493978 	3576705 	3902649 	3575687 	4900107 	5485220 	6445795 	3116995 	3116995 
NR,N_GE4,DOM,T,ES	12550496 	13080229 	12528112 b	11193125 	11624720 	11155393 	11687490 	10875158 	12138226 	12574601 	12687145 	13011626 	11616470 	9681454 	15634136 	15624994 	15730621 	25108192 	19654295 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,EU27	: 	: 	: 	: 	: 	: 	104426687 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,EU28	: 	: 	: 	: 	: 	: 	105196392 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,FI	1196069 	1260701 	1337733 	1325117 	1273499 	1310023 b	1176000 	1152000 	1136000 	1135000 	1259000 	1067000 	1170000 	1182000 	1301000 	1272000 	1201000 	1195000 	1124000 	1189000 	1229000 	1104000 	1418000 	1189000 
NR,N_GE4,DOM,T,FR	18898499 	21431436 	22276568 	22136458 	22518479 	22874230 	22940000 	22859280 	23516663 	23474576 	23584284 	23493485 	23677776 	20179000 	20663000 	: 	20228000 	19841000 	20370000 	20539000 	20964000 	: 	: 	: 
NR,N_GE4,DOM,T,HR	779256 	821086 	759048 b	810696 	681303 	784589 	769705 	1026570 	917467 	879407 	799891 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,HU	: 	1581455 	1583337 	1645689 	1643169 	1618780 b	1478035 	2598942 	2606629 	2966006 	1762227 	2237360 	2869751 	2805781 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,IE	323379 	296352 	323668 	324152 	322834 	305569 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	507000 	661000 	1031000 	: 	: 	: 	: 
NR,N_GE4,DOM,T,IT	11338534 	11239070 	12319417 	11240517 b	12366286 	14273080 	14465953 	15597655 	15834297 	15365993 	18142338 	18033568 	17806222 	17694691 	17856840 	17609661 	17268213 	16768892 	15509403 	15898104 	17448913 	: 	: 	: 
NR,N_GE4,DOM,T,LT	123818 	132106 	153984 	152638 	137738 	122955 	251743 	251076 	276839 	230865 	146608 	159382 	138955 	345475 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,LU	: 	: c	: c	3645 	954 	1822 	132 	690 	: u	: u	: u	1000 	1000 	1000 	1000 	2000 	1000 	1000 	3000 	1000 	2000 	: 	: 	: 
NR,N_GE4,DOM,T,LV	112081 	110971 	100606 	88888 	119488 	107228 	121366 	190596 	198141 	199911 	200358 	225088 	262929 	281967 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,ME	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,MT	23489 	19939 	19305 	25939 	20605 	26294 b	21124 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,NL	2117276 	2337972 	2283531 	2330609 	2379411 	2470035 b	1757000 	1861000 	1917000 	1787000 	1901000 	2054000 	1920000 	2066000 	1982000 	1910000 	2226000 	2247000 	2287000 	2316000 	: 	: 	: 	: 
NR,N_GE4,DOM,T,NO	618220 	556707 	: 	: 	501100 	: 	588391 	722415 	722415 	626155 	633314 	834690 	709673 	767460 	889273 	758912 	889170 	925086 	940264 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,PL	8750326 	8507031 	8050355 	7217153 	8130000 	7360000 	6651000 e	7001000 	7819000 	7518000 	7227000 	7367000 	7900000 	7734000 e	8750000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,PT	1773317 	1801265 	1728860 	1621955 	1775641 	1428380 	1504967 	1482870 	1716348 	1118723 	1230066 	1747201 	1763737 	1877311 	1956013 	2184769 	2257052 	2022280 	2060376 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,RO	1425535 	1362303 	1514890 	1497020 	1569449 	1648173 	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,SE	948704 	878661 	824698 	864800 	: 	2988546 	3014202 	3064598 	2859122 	2816807 	2797047 	2852621 	: 	: 	: 	: 	: 	: 	: 	: 	4018000 	: 	: 	: 
NR,N_GE4,DOM,T,SI	120977 	148081 	136681 	144768 e	137652 e	151800 	171000 	194000 	221000 	201793 	218417 	210351 	206615 	206374 	225936 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,SK	760545 	799001 	703873 	638799 	686371 b	628108 	737767 	743930 	880795 	850576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,T,UK	: 	8469680 	8452800 	8345600 	9737400 	10832000 	11088000 	10856000 	10960000 	10031000 	9578000 	10703000 	10231000 	7680000 	8670000 	9220000 	9401000 	9926000 	12280000 	15810000 	16860000 	16210000 	: 	: 
NR,N_GE4,DOT,F,AT	1287673 	1226347 	1243326 	1139473 	1294692 	1214053 	1201634 	1180205 	1192849 	1210713 	1084449 	1176240 	984099 	303649 	243057 	305661 	302790 	307521 	305867 	267000 	: 	: 	: 	: 
NR,N_GE4,DOT,F,BE	1147618 b	822136 	680977 	550105 	762955 	522613 	241342 	246928 	219950 	278551 	241918 	269713 	301488 	284307 	262581 	220470 	213986 	: 	222039 	296201 	: 	231740 	: 	: 
NR,N_GE4,DOT,F,BG	68618 	17591 	32073 	20141 	14120 	12639 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOT,F,CH	: 	666751 	710717 	641607 	648097 	658768 	: u	567292 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOT,F,CY	89150 e	89210 e	83303 e	81643 e	24135 e	42632 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOT,F,CZ	955072 	909590 	727530 	790794 	685076 	825082 e	901768 	326439 	604757 e	518552 e	653428 	618779 	570417 	549855 	475729 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOT,F,DE	7106224 	6376541 	6290909 	7117955 	6643474 	6072071 	5683671 	5578075 	1334253 e	4354763 	2194917 	2144171 	3092480 	2860000 	3319000 	: u	1876000 	2109000 	: u	: u	: u	: 	: 	: 
