unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
NR,PERS,N1-3,DOM,DIRECT,ES	36854797 	: 	: 	35171573 
NR,PERS,N1-3,DOM,DIRECT,EU27	: 	: 	: 	425501279 e
NR,PERS,N1-3,DOM,DIRECT,EU28	: 	: 	: 	425255215 e
NR,PERS,N1-3,DOM,DIRECT,FI	6916075 	: 	: 	6153542 
NR,PERS,N1-3,DOM,DIRECT,FR	: u	: 	: 	: 
NR,PERS,N1-3,DOM,DIRECT,HR	: 	: 	: 	237728 
NR,PERS,N1-3,DOM,DIRECT,HU	7230629 	: 	: 	4702522 
NR,PERS,N1-3,DOM,DIRECT,IE	5394898 	: 	: 	4367316 
NR,PERS,N1-3,DOM,DIRECT,IT	24722734 	: 	: 	19976678 
NR,PERS,N1-3,DOM,DIRECT,LU	: 	: 	: 	17247 u
NR,PERS,N1-3,DOM,DIRECT,LV	: 	: 	: 	: u
NR,PERS,N1-3,DOM,DIRECT,MT	190174 	: 	: 	104788 
NR,PERS,N1-3,DOM,DIRECT,NL	8827591 	: 	: 	10517822 
NR,PERS,N1-3,DOM,DIRECT,PL	10862718 	: 	: 	4851743 
NR,PERS,N1-3,DOM,DIRECT,PT	2742435 	: 	: 	1109062 
NR,PERS,N1-3,DOM,DIRECT,RO	1261950 	: 	: 	851320 
NR,PERS,N1-3,DOM,DIRECT,SE	: 	: 	: 	3505104 
NR,PERS,N1-3,DOM,DIRECT,SI	931600 	: 	: 	867216 
NR,PERS,N1-3,DOM,DIRECT,SK	3431157 	: 	: 	1929558 
NR,PERS,N1-3,DOM,NBOOK,AT	3311768 	: 	: 	3670204 
NR,PERS,N1-3,DOM,NBOOK,BE	999921 b	: 	: 	787794 
NR,PERS,N1-3,DOM,NBOOK,BG	2838558 	: 	: 	2250869 
NR,PERS,N1-3,DOM,NBOOK,CH	: 	: 	6284899 	6263443 
NR,PERS,N1-3,DOM,NBOOK,CY	1762687 	: 	: 	48433 u
NR,PERS,N1-3,DOM,NBOOK,CZ	31806802 	: 	: 	33240388 
NR,PERS,N1-3,DOM,NBOOK,DE	19910728 	: 	: 	21937578 
NR,PERS,N1-3,DOM,NBOOK,DK	: 	: 	: 	18267333 
NR,PERS,N1-3,DOM,NBOOK,EA	: 	: 	: 	229768133 e
NR,PERS,N1-3,DOM,NBOOK,EE	2515453 	: 	: 	3122421 
NR,PERS,N1-3,DOM,NBOOK,EL	: 	: 	: 	1588597 
NR,PERS,N1-3,DOM,NBOOK,ES	114084887 	: 	: 	121258176 
NR,PERS,N1-3,DOM,NBOOK,EU27	: 	: 	: 	436443385 e
NR,PERS,N1-3,DOM,NBOOK,EU28	: 	: 	: 	441405610 e
NR,PERS,N1-3,DOM,NBOOK,FI	30365574 	: 	: 	29921852 
NR,PERS,N1-3,DOM,NBOOK,FR	4542550 	: 	: 	: 
NR,PERS,N1-3,DOM,NBOOK,HR	: 	: 	: 	4802451 
NR,PERS,N1-3,DOM,NBOOK,HU	10684175 	: 	: 	13025525 
NR,PERS,N1-3,DOM,NBOOK,IE	4192207 	: 	: 	3447473 
NR,PERS,N1-3,DOM,NBOOK,IT	12369439 	: 	: 	14323252 
NR,PERS,N1-3,DOM,NBOOK,LT	3215301 	: 	: 	2906365 
NR,PERS,N1-3,DOM,NBOOK,LU	: 	: 	: 	10120 u
NR,PERS,N1-3,DOM,NBOOK,LV	: 	: 	: 	4038041 
NR,PERS,N1-3,DOM,NBOOK,MT	128931 	: 	: 	129518 
NR,PERS,N1-3,DOM,NBOOK,NL	12270356 	: 	: 	12720222 
NR,PERS,N1-3,DOM,NBOOK,PL	28299509 	: 	: 	36716162 
NR,PERS,N1-3,DOM,NBOOK,PT	14314459 	: 	: 	12433249 
NR,PERS,N1-3,DOM,NBOOK,RO	20837776 	: 	: 	20487702 
NR,PERS,N1-3,DOM,NBOOK,SE	: 	: 	: 	20402630 
NR,PERS,N1-3,DOM,NBOOK,SI	1451132 	: 	: 	1642296 
NR,PERS,N1-3,DOM,NBOOK,SK	5065120 	: 	: 	3466702 
NR,PERS,N1-3,DOM,NPACK,AT	11575010 	: 	: 	10880020 
NR,PERS,N1-3,DOM,NPACK,BE	4063803 b	: 	: 	2664057 
NR,PERS,N1-3,DOM,NPACK,BG	5515474 	: 	: 	3918374 
NR,PERS,N1-3,DOM,NPACK,CH	: 	: 	6839955 	6939484 
