unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
NR,PERS,N1-3,DOM,DIRECT,LV	: 	: 	: 	: u
NR,PERS,N1-3,DOM,DIRECT,MT	91392 	: 	: 	48134 
NR,PERS,N1-3,DOM,DIRECT,NL	5026781 	: 	: 	5754915 
NR,PERS,N1-3,DOM,DIRECT,PL	4925851 	: 	: 	2246493 
NR,PERS,N1-3,DOM,DIRECT,PT	1569674 	: 	: 	661697 
NR,PERS,N1-3,DOM,DIRECT,RO	520077 	: 	: 	358403 
NR,PERS,N1-3,DOM,DIRECT,SE	: 	: 	: 	1987760 
NR,PERS,N1-3,DOM,DIRECT,SI	464578 	: 	: 	449713 
NR,PERS,N1-3,DOM,DIRECT,SK	1586800 	: 	: 	824240 
NR,PERS,N1-3,DOM,NBOOK,AT	1801989 	: 	: 	2025779 
NR,PERS,N1-3,DOM,NBOOK,BE	527761 b	: 	: 	410342 
NR,PERS,N1-3,DOM,NBOOK,BG	1404059 	: 	: 	1069175 
NR,PERS,N1-3,DOM,NBOOK,CH	: 	: 	3726096 	3617474 
NR,PERS,N1-3,DOM,NBOOK,CY	1058674 	: 	: 	33691 u
NR,PERS,N1-3,DOM,NBOOK,CZ	16890693 	: 	: 	16770240 
NR,PERS,N1-3,DOM,NBOOK,DE	9840960 	: 	: 	10900678 
NR,PERS,N1-3,DOM,NBOOK,DK	: 	: 	: 	11690453 
NR,PERS,N1-3,DOM,NBOOK,EA	: 	: 	: 	121824673 e
