unit,purpose,duration,partner,month,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N_GE1,WORLD,M07,UK	: 	: 	: 	: 	14235665 	13259705 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,AT	2930223 	2812770 	2736588 	2689481 	2826593 	2634560 	: 	: 	: 	: 	: 	2295129 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,BE	1914443 b	1796935 	1744516 	1655968 	1674240 	1441769 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,BG	1229727 	984707 	544034 	758523 	827212 	746339 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,CH	: 	1953781 	1885661 	1871403 	1896826 	1599535 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,CY	366533 	389022 	387746 	404028 	396611 	417345 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,CZ	4773438 	4166602 	3965001 	4094847 	4160697 	4542417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,DE	20940402 	22434952 	24146040 	23190817 	21788805 	20702658 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,DK	: 	2317550 	3026012 	3447411 	2449228 b	2601116 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	823800 	767000 	: 	932000 	1133600 	: 	: 
NR,PERS,N_GE1,WORLD,M08,EA	: 	: 	: 	99972142 e	99496724 e	97542466 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,EE	508425 	487525 	437167 	403801 	324213 	486042 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,EL	: 	1812467 	1731067 	1980588 	1700586 	2056198 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,ES	19048657 	18303174 	17625964 b	15787784 	16718619 	16166134 	: 	: 	: 	: 	: 	16594243 	17103510 	18193270 	18148910 	16984900 	16666520 	16115320 	12312737 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,EU27	: 	: 	141011185 e	143628041 e	141524839 e	137855917 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,EU28	: 	: 	141586406 e	144448379 e	142601962 e	138932117 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,FI	3227719 	3283327 	2996330 	3119233 	3301444 	3453741 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,FR	25145782 	22562510 	24406284 	28729712 	28509666 	27684086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26406000 	27106000 	29124000 	28173000 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,HR	697123 	623168 	652927 	869994 	1079450 	1077901 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,HU	2482138 	2592153 	2397743 	2293105 	2219061 	2484406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,IE	1484583 	1313369 	1279386 	1263418 	1267918 	1197228 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	960000 	918000 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,IT	11151084 	11694444 	10400789 	11547941 b	11678286 	12685151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,LT	502676 	521523 	480421 	584331 	461346 	500426 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,LU	: 	218953 	203903 	210859 	208280 	205434 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,LV	: 	515186 	480137 	474457 	516890 	572434 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,MT	82246 	75486 	74317 	67109 b	56008 	66327 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,NL	4691660 	4576902 	4490783 	4669810 	4540467 	4565722 b	: 	: 	: 	: 	: 	3220000 	3244000 	3450000 	3222000 	3218000 	3663000 	3328000 	3461000 	3743000 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,NO	1678615 	1687897 	1719369 	1771925 	1823167 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,PL	9504801 	9009103 	8399191 	7679565 b	7633712 	6732579 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,PT	2669590 	2644844 	2452508 	2128283 	2417396 	2179296 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,RO	2806033 	2749992 	2902314 	2705813 	2800453 	2643193 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,SE	: 	3967525 	3989423 	3409197 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,SI	687108 	734039 	684206 	694022 	800861 	716126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,SK	930376 	1248557 	1146543 	854720 	1274522 b	872650 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M08,UK	: 	: 	: 	: 	18271431 	16883856 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,AT	1686746 	1708081 	1538766 	1488921 	1628480 	1585307 	: 	: 	: 	: 	: 	1402552 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,BE	1041320 b	1274819 	1091291 	975140 	986308 	923949 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,BG	365121 	358619 	146986 	278247 	229058 	224587 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,CH	: 	1510519 	1885337 	1609615 	1616419 	1708937 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,CY	214757 	197195 	159117 	187453 	176240 	193617 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,CZ	2876862 	2548136 	2692307 	2785669 	2402473 	2545790 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,DE	20134348 	20508355 	20479973 	19923601 	21289488 	20549668 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,DK	: 	2284625 	2061454 	2455787 	2253432 b	2016642 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	741500 	643800 	: 	676000 	827700 	: 	: 
NR,PERS,N_GE1,WORLD,M09,EA	: 	: 	: 	59684407 e	60894748 e	62476693 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,EE	306981 	246524 	202944 	184500 	153104 	137341 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,EL	: 	296311 	342140 	383730 	254442 	376122 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,ES	12525101 	11599651 	10954476 b	9412789 	10292550 	10168062 	: 	: 	: 	: 	: 	9927512 	10650220 	12151060 	11753010 	12361270 	11933210 	11000600 	7134312 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,EU27	: 	: 	84761532 e	84309903 e	88048041 e	89477767 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,EU28	: 	: 	84971197 e	84733766 e	88641631 e	89968782 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,FI	2690428 	2753296 	2557932 	2450800 	2665689 	2480239 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,FR	14526152 	12920638 	13152718 	15129385 	14478230 	15434204 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12412000 	12356000 	13412000 	13804000 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,HR	275259 	213889 	273495 	460267 	596485 	496027 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,HU	1262877 	1221990 	1172979 	1104217 	1093761 	1429315 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,IE	957146 	893101 	922434 	895796 	850945 	930518 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	477000 	457000 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,IT	3465540 	4289831 	2596216 	2699439 b	2623068 	3677369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,LT	411741 	460170 	436810 	498524 	535601 	506407 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,LU	: 	109524 	127651 	131162 	116750 	119264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,LV	: 	275165 	298702 	327754 	324875 	388612 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,MT	78938 	75602 	70884 	57648 b	34793 	70244 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,NL	4185107 	4017304 	3745981 	3985475 	3823724 	4120953 b	: 	: 	: 	: 	: 	2626000 	2691000 	2502000 	2416000 	2358000 	2291000 	2129000 	2166000 	2058000 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,NO	1389712 	1415777 	1496289 	1576640 	1342087 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,PL	3324590 	3520292 	3381579 	3301974 b	4447745 	3599014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,PT	1430692 	1327515 	1212782 	966651 	1085240 	975624 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,RO	827261 	854479 	891468 	792720 	833726 	797146 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,SE	: 	2762412 	2887172 	2392223 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,SI	304410 	293360 	282468 	298171 	280360 	304608 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,SK	504617 	728702 	603827 	459439 	147866 bu	421917 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M09,UK	: 	: 	: 	: 	13360139 	13801544 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,AT	1507166 	1554156 	1289587 	1331636 	1281081 	1377897 	: 	: 	: 	: 	: 	1199082 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,BE	989843 b	842401 	909520 	801180 	689739 	647722 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,BG	241407 	166015 	127984 	134215 	162256 	233850 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,CH	: 	1830444 	1847209 	1578777 	1447090 	1677610 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,CY	210382 	185918 	138152 	151172 	155035 	144347 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,CZ	2122966 	2038856 	1793776 	2126253 	2105714 	1872526 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,DE	16248015 	18487410 	17480512 	18509055 	18381658 	15375701 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,DK	: 	2495017 	2322131 	2171350 	2189565 b	2570472 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	710700 	610700 	: 	673000 	697900 	: 	: 
NR,PERS,N_GE1,WORLD,M10,EA	: 	: 	: 	56781057 e	55600629 e	51014545 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,EE	253986 	266895 	219287 	254941 	168036 	220484 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,EL	: 	252562 	202529 	259757 	231392 	281253 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,ES	10537628 	10338556 	11039572 b	8672323 	9040446 	8149770 	: 	: 	: 	: 	: 	8827405 	10093080 	8796052 	7855255 	7913060 	8431655 	9353872 	3337273 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,EU27	: 	: 	79131459 e	79528355 e	77374896 e	73388898 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,EU28	: 	: 	79388561 e	79932319 e	77995951 e	73912034 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,FI	2479129 	2407383 	2402212 	2419129 	2475051 	2439659 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,FR	15292746 	15211350 	15344609 	17096421 	16643894 	14699274 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9126000 	8733000 	10109000 	9714000 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,HR	209745 	231209 	308973 	437782 	621718 	524979 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,HU	1099202 	1013862 	1108756 	1134948 	928685 	1165688 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,IE	1241429 	1171047 	1214662 	1010735 	913119 	888626 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	316000 	292000 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,IT	2237397 	3046925 	2352437 	2252023 b	1958963 	2591448 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,LT	229505 	280023 	271849 	240747 	251932 	243962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,LU	: 	93052 	81663 	91436 	87955 	78860 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,LV	: 	341605 	363468 	287939 	306256 	350014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,MT	37837 	33430 	25367 	25516 b	32627 	37065 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,NL	2523879 	2723937 	2301005 	2412606 	2318225 	2624611 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	2213000 	1989000 	2023000 	1941000 	1639000 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,NO	1421293 	1229431 	1231310 	1494958 	211156 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,PL	3696881 	3485186 	3518845 	3407985 b	3011649 	3237374 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,PT	945423 	907482 	853883 	688683 	766656 	770540 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,RO	894256 	786974 	385808 	659722 	774699 	543096 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,SE	: 	2587982 	2650792 	2502001 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,SI	286211 	269190 	218808 	254996 	260913 	327425 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,SK	985503 	445022 	475036 	410684 	189018 bu	353586 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M10,UK	: 	: 	: 	: 	10574021 	10769564 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,AT	880094 	998651 	907071 	910127 	964517 	971279 	: 	: 	: 	: 	: 	833345 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,BE	760150 b	638278 	761624 	541916 	624099 	514138 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,BG	218210 	165806 	113570 	126373 	174718 	146371 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,CH	: 	654001 	824428 	717347 	979797 	692489 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,CY	146947 	123845 	119537 	119504 	118083 	105820 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,CZ	1723083 	1369224 	1570337 	1644859 	1386121 	1621622 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,DE	10119395 	10631910 	12040385 	9685850 	11919171 	10963031 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,DK	: 	1824545 	1916331 	1802715 	1857513 b	2179039 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	480500 	403000 	: 	419000 	460400 	: 	: 
NR,PERS,N_GE1,WORLD,M11,EA	: 	: 	: 	38353547 e	41752255 e	41193086 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,EE	225728 	176111 	179541 	217616 	146154 	182560 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,EL	: 	155889 	169436 	208430 	131772 	223831 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,ES	8211432 	7654393 	7614327 b	8108469 	7507734 	7616072 	: 	: 	: 	: 	: 	7148047 	7690174 	7741125 	7878251 	7829559 	7551255 	8269805 	3045994 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,EU27	: 	: 	54508163 e	54926227 e	61490493 e	61979725 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,EU28	: 	: 	54656915 e	55278026 e	61993474 e	62416710 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,FI	2365205 	2173747 	2252985 	2332594 	2247634 	2489770 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,FR	9634474 	8562926 	8640544 	10650067 	11783347 	11552299 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8874000 	10248000 	8885000 	9757000 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,HR	158573 	216340 	188049 	365997 	503330 	438633 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,HU	1040380 	1046457 	1105897 	973552 	904912 	1076874 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,IE	892768 	788876 	723627 	602728 	656027 	671693 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	163000 	249000 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,IT	2229464 	1431603 	1471988 	1762805 b	2086668 	2325876 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,LT	291627 	216663 	262029 	237886 	225881 	233281 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,LU	: 	65448 	79003 	76690 	98005 	60423 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,LV	: 	226804 	257734 	285909 	274050 	308925 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,MT	41546 	33759 	28220 	34886 b	36642 	21314 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,NL	1963999 	1686647 	1743184 	1826617 	1964129 	2118041 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	1411000 	897000 	962000 	847000 	898000 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,NO	1080708 	963216 	944268 	884077 	166611 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,PL	1953936 	1956995 	1868173 	1750744 b	3090633 	3338333 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,PT	794598 	781622 	664764 	799051 	806709 	779130 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,RO	1273952 	805800 	466233 	689442 	750253 	679197 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N_GE1,WORLD,M11,SE	: 	2329833 	2244115 	2097865 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
